"fecha","Cantidad"
2009-01-01,30715
2010-01-01,30671
2011-01-01,30766
2012-01-01,33127
2013-01-01,33130
2014-01-01,32492
2015-01-01,33495
2016-01-01,32299
2017-01-01,30943
2018-01-01,32679
2019-01-01,32017
2020-01-01,30786
2021-01-01,26362
2022-01-01,29883
2009-02-01,26078
2010-02-01,26422
2011-02-01,26716
2012-02-01,29541
2013-02-01,29017
2014-02-01,29074
2015-02-01,29402
2016-02-01,30738
2017-02-01,27610
2018-02-01,28397
2019-02-01,28498
2020-02-01,26889
2021-02-01,23828
2022-02-01,26432
2009-03-01,29319
2010-03-01,28756
2011-03-01,30161
2012-03-01,31716
2013-03-01,31019
2014-03-01,32092
2015-03-01,32419
2016-03-01,33616
2017-03-01,31876
2018-03-01,31924
2019-03-01,31342
2020-03-01,27925
2021-03-01,27474
2022-03-01,29684
2009-04-01,27917
2010-04-01,27682
2011-04-01,29295
2012-04-01,30063
2013-04-01,31252
2014-04-01,30966
2015-04-01,30765
2016-04-01,32807
2017-04-01,30987
2018-04-01,31104
2019-04-01,29729
2020-04-01,26984
2021-04-01,27110
2022-04-01,27544
2009-05-01,29363
2010-05-01,28832
2011-05-01,31009
2012-05-01,31938
2013-05-01,32324
2014-05-01,32460
2015-05-01,32095
2016-05-01,34291
2017-05-01,32381
2018-05-01,31907
2019-05-01,31097
2020-05-01,28069
2021-05-01,28732
2022-05-01,28339
2009-06-01,27988
2010-06-01,28124
2011-06-01,29862
2012-06-01,30951
2013-06-01,31353
2014-06-01,30906
2015-06-01,31221
2016-06-01,32461
2017-06-01,31607
2018-06-01,30153
2019-06-01,29886
2020-06-01,27992
2021-06-01,28302
2022-06-01,27687
2009-07-01,29476
2010-07-01,29511
2011-07-01,32031
2012-07-01,32183
2013-07-01,32919
2014-07-01,31793
2015-07-01,32613
2016-07-01,32313
2017-07-01,32644
2018-07-01,31871
2019-07-01,30782
2020-07-01,28855
2021-07-01,30089
2022-07-01,29095
2009-08-01,30354
2010-08-01,31502
2011-08-01,32573
2012-08-01,33739
2013-08-01,33521
2014-08-01,31793
2015-08-01,33238
2016-08-01,32618
2017-08-01,32887
2018-08-01,32820
2019-08-01,31155
2020-08-01,29159
2021-08-01,30886
2022-08-01,30347
2009-09-01,31590
2010-09-01,34130
2011-09-01,34133
2012-09-01,35320
2013-09-01,34914
2014-09-01,34533
2015-09-01,35320
2016-09-01,33990
2017-09-01,33514
2018-09-01,34723
2019-09-01,32973
2020-09-01,30825
2021-09-01,32497
2022-09-01,29802
2009-10-01,30505
2010-10-01,33355
2011-10-01,33327
2012-10-01,34611
2013-10-01,33540
2014-10-01,34513
2015-10-01,34429
2016-10-01,33026
2017-10-01,33822
2018-10-01,34192
2019-10-01,32117
2020-10-01,29888
2021-10-01,30863
2022-10-01,29190
2009-11-01,28444
2010-11-01,30854
2011-11-01,31767
2012-11-01,32254
2013-11-01,31677
2014-11-01,33040
2015-11-01,32729
2016-11-01,31555
2017-11-01,31469
2018-11-01,31757
2019-11-01,28958
2020-11-01,27764
2021-11-01,29554
2022-11-01,28856
2009-12-01,29879
2010-12-01,32067
2011-12-01,32052
2012-12-01,33170
2013-12-01,32676
2014-12-01,32533
2015-12-01,33699
2016-12-01,30668
2017-12-01,31924
2018-12-01,31736
2019-12-01,28301
2020-12-01,26076
2021-12-01,29452
2022-12-01,29010
